时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1991-12-19,四	279.98	280.17	279.51	280.17	+0.66	0.24	0.236	124200	1242701	
1991-12-20,五	282.83	282.83	280.63	282.83	+2.66	0.95	0.785	626800	6268733	
1991-12-23,一	285.64	285.64	282.83	285.64	+2.81	0.99	0.994	118200	1182123	
1991-12-24,二	285.74	286.22	285.64	286.22	+0.58	0.20	0.203	59300	593373	
1991-12-25,三	287.08	287.14	286.22	287.14	+0.92	0.32	0.321	87300	873628	
1991-12-26,四	288.02	288.02	287.14	288.02	+0.88	0.31	0.306	142200	1422421	
1991-12-27,五	290.64	290.85	288.02	290.85	+2.83	0.98	0.983	178900	1789522	
1991-12-30,一	291.70	291.70	290.85	291.70	+0.85	0.29	0.292	188100	1881075	
1991-12-31,二	292.48	292.75	291.70	292.75	+1.05	0.36	0.360	85800	858863	
1992-01-02,四	293.74	293.75	292.76	293.75	+1.00	0.34	0.338	133900	1339598	
1992-01-03,五	296.24	296.52	293.75	296.52	+2.77	0.94	0.943	184200	1842222	
1992-01-06,一	297.68	297.68	296.52	297.68	+1.16	0.39	0.391	423600	4236024	
1992-01-07,二	298.54	298.77	297.68	298.77	+1.09	0.37	0.366	106400	1064008	
1992-01-08,三	299.64	299.66	298.77	299.66	+0.89	0.30	0.298	93000	930535	
1992-01-09,四	300.61	300.62	299.66	300.62	+0.96	0.32	0.320	124400	1244834	
1992-01-10,五	301.82	301.83	300.62	301.83	+1.21	0.40	0.403	262900	2629590	
1992-01-13,一	302.83	303.06	302.00	303.06	+1.23	0.41	0.351	109700	1097531	
1992-01-14,二	304.77	305.74	303.06	305.74	+2.68	0.88	0.884	85800	858530	
1992-01-15,三	306.62	306.63	305.74	306.63	+0.89	0.29	0.291	31400	314974	
1992-01-16,四	306.85	306.85	306.63	306.85	+0.22	0.07	0.072	48800	488305	
1992-01-17,五	307.37	307.38	306.85	307.38	+0.53	0.17	0.173	32100	321916	
1992-01-20,一	307.38	307.39	307.38	307.39	+0.01	0.00	0.003	50200	502999	
1992-01-21,二	307.87	307.87	307.39	307.87	+0.48	0.16	0.156	65000	650501	
1992-01-22,三	307.95	307.95	307.87	307.95	+0.08	0.03	0.026	43900	439920	
1992-01-23,四	308.52	308.52	307.95	308.52	+0.57	0.19	0.185	58300	583190	
1992-01-24,五	309.05	309.05	308.52	309.05	+0.53	0.17	0.172	100400	1004033	
1992-01-27,一	311.60	311.61	309.05	311.61	+2.56	0.83	0.828	75000	750773	
1992-01-28,二	311.67	311.83	311.61	311.83	+0.22	0.07	0.071	82200	822810	
1992-01-29,三	312.41	312.58	311.83	312.42	+0.59	0.19	0.241	45000	450211	
1992-01-30,四	312.73	312.73	312.42	312.73	+0.31	0.10	0.099	54300	543800	
1992-01-31,五	313.24	313.24	312.73	313.24	+0.51	0.16	0.163	58600	586786	
1992-02-03,一	314.18	314.18	313.24	314.18	+0.94	0.30	0.300	58300	583325	
1992-02-07,五	314.72	314.72	314.18	314.72	+0.54	0.17	0.172	52700	527451	
1992-02-10,一	315.55	315.56	314.72	315.56	+0.84	0.27	0.267	58600	586553	
1992-02-11,二	316.12	316.43	315.56	316.43	+0.87	0.28	0.276	46000	460159	
1992-02-12,三	316.43	316.44	316.43	316.44	+0.01	0.00	0.003	39700	397279	
1992-02-13,四	317.24	317.57	317.04	317.06	+0.62	0.20	0.167	102000	1686917	
1992-02-14,五	319.45	319.68	317.04	319.68	+2.62	0.83	0.833	77000	770875	
1992-02-17,一	319.77	319.77	319.68	319.77	+0.09	0.03	0.028	1378200	13782082	
1992-02-18,二	338.98	339.16	319.77	337.11	+17.34	5.42	6.06	1265500	12655298	
1992-02-19,三	340.50	342.41	337.11	342.41	+5.30	1.57	1.57	1650100	16501609	
1992-02-20,四	345.22	348.01	342.41	347.99	+5.58	1.63	1.64	2000400	20004752	
1992-02-21,五	358.91	359.93	347.99	359.59	+11.60	3.33	3.43	1777400	19254248	
1992-02-24,一	361.11	361.62	359.59	360.50	+0.91	0.25	0.565	523100	18038445	
1992-02-25,二	359.66	361.29	357.07	360.37	-0.13	-0.04	1.17	729800	8037606	
1992-02-26,三	359.85	360.76	359.27	360.10	-0.27	-0.07	0.413	687200	8082674	
1992-02-27,四	361.00	363.03	360.10	362.45	+2.35	0.65	0.814	1661300	17931365	
1992-02-28,五	364.15	364.67	362.45	364.66	+2.21	0.61	0.612	2621300	26401859	
1992-03-02,一	365.15	365.39	364.66	365.39	+0.73	0.20	0.200	502600	5644321	
1992-03-03,二	366.79	367.25	365.39	367.00	+1.61	0.44	0.509	256600	3366071	
1992-03-04,三	367.56	368.32	366.95	368.28	+1.28	0.35	0.373	21300	10365269	
1992-03-05,四	369.31	369.88	368.11	369.76	+1.48	0.40	0.481	1324600	14928647	
1992-03-06,五	370.79	371.76	369.76	371.76	+2.00	0.54	0.541	898200	9958408	
1992-03-09,一	372.26	374.06	371.88	373.53	+1.77	0.48	0.586	1570500	22273776	
1992-03-10,二	374.48	375.23	373.53	375.23	+1.70	0.46	0.455	658800	7452592	
1992-03-11,三	375.87	376.25	374.98	376.14	+0.91	0.24	0.338	1086300	11238040	
1992-03-12,四	377.55	377.57	376.14	376.92	+0.78	0.21	0.380	3075800	31594198	
1992-03-13,五	376.58	377.19	376.38	376.38	-0.54	-0.14	0.215	396400	4487903	
1992-03-16,一	377.00	377.42	376.38	377.05	+0.67	0.18	0.276	141900	2265997	
1992-03-17,二	377.50	377.84	377.03	377.49	+0.44	0.12	0.215	118200	1340086	
1992-03-18,三	377.94	378.32	377.49	377.66	+0.17	0.05	0.220	75500	2252891	
1992-03-19,四	377.26	377.96	376.21	377.31	-0.35	-0.09	0.463	3482200	35111209	
1992-03-20,五	377.91	378.03	377.31	377.99	+0.68	0.18	0.191	776400	7844940	
1992-03-23,一	378.61	379.04	377.45	378.89	+0.90	0.24	0.421	2405500	24375080	
1992-03-24,二	378.53	379.50	378.05	378.69	-0.20	-0.05	0.383	630300	7016716	
1992-03-25,三	378.33	379.02	378.12	378.12	-0.57	-0.15	0.238	2033700	21445413	
